Date,KO,PEP
12/18/2020,$53.23 ,$146.30 
12/17/2020,$53.43 ,$145.69 
12/16/2020,$53.37 ,$144.68 
12/15/2020,$53.91 ,$144.58 
12/14/2020,$53.51 ,$145.26 
12/11/2020,$53.16 ,$144.26 
12/10/2020,$53.25 ,$145.36 
12/9/2020,$53.30 ,$145.19 
12/8/2020,$53.13 ,$145.23 
12/7/2020,$53.24 ,$145.59 
12/4/2020,$53.32 ,$144.92 
12/3/2020,$52.42 ,$143.99 
12/2/2020,$51.88 ,$145.42 
12/1/2020,$52.06 ,$145.57 
11/30/2020,$51.64 ,$143.76 
11/27/2020,$52.90 ,$144.73 
11/25/2020,$53.04 ,$144.31 
11/24/2020,$53.31 ,$143.59 
11/23/2020,$52.69 ,$142.77 
11/20/2020,$52.92 ,$143.82 
11/19/2020,$52.59 ,$143.02 
11/18/2020,$53.29 ,$144.93 
11/17/2020,$53.39 ,$145.11 
11/16/2020,$53.95 ,$145.48 
11/13/2020,$53.20 ,$144.08 
11/12/2020,$52.91 ,$143.75 
11/11/2020,$53.82 ,$142.93 
11/10/2020,$53.37 ,$139.32 
11/9/2020,$52.67 ,$140.91 
11/6/2020,$49.62 ,$138.55 
11/5/2020,$49.78 ,$138.87 
11/4/2020,$49.65 ,$139.68 
11/3/2020,$49.48 ,$137.44 
11/2/2020,$48.60 ,$135.01 
10/30/2020,$47.74 ,$132.78 
10/29/2020,$47.89 ,$133.95 
10/28/2020,$48.47 ,$135.83 
10/27/2020,$49.92 ,$139.10 
10/26/2020,$49.86 ,$137.75 
10/23/2020,$50.82 ,$139.79 
10/22/2020,$50.79 ,$139.61 
10/21/2020,$50.10 ,$139.79 
10/20/2020,$50.21 ,$140.31 
10/19/2020,$49.97 ,$140.89 
10/16/2020,$50.11 ,$141.98 
10/15/2020,$49.72 ,$141.30 
10/14/2020,$50.07 ,$142.87 
10/13/2020,$50.45 ,$142.96 
10/12/2020,$51.18 ,$141.64 
10/9/2020,$50.92 ,$138.58 
10/8/2020,$50.04 ,$137.45 
10/7/2020,$49.36 ,$136.64 
10/6/2020,$49.28 ,$136.99 
10/5/2020,$49.34 ,$137.68 
10/2/2020,$49.07 ,$138.06 
10/1/2020,$49.12 ,$139.17 
9/30/2020,$49.26 ,$138.05 
9/29/2020,$49.23 ,$138.34 
9/28/2020,$49.43 ,$137.13 
9/25/2020,$48.37 ,$132.17 
9/24/2020,$48.33 ,$131.12 
9/23/2020,$49.05 ,$131.34 
9/22/2020,$49.55 ,$131.67 
9/21/2020,$49.31 ,$130.34 
9/18/2020,$50.68 ,$132.40 
9/17/2020,$50.29 ,$133.12 
9/16/2020,$51.09 ,$135.69 
9/15/2020,$51.11 ,$136.33 
9/14/2020,$50.90 ,$136.65 
9/11/2020,$50.65 ,$135.31 
9/10/2020,$50.31 ,$135.72 
9/9/2020,$50.15 ,$136.93 
9/8/2020,$50.20 ,$136.52 
9/4/2020,$50.87 ,$138.63 
9/3/2020,$51.12 ,$141.08 
9/2/2020,$50.36 ,$141.59 
9/1/2020,$49.09 ,$139.49 
8/31/2020,$49.71 ,$140.01 
8/28/2020,$49.19 ,$138.60 
8/27/2020,$48.51 ,$138.92 
8/26/2020,$47.83 ,$137.52 
8/25/2020,$47.85 ,$137.54 
8/24/2020,$47.58 ,$136.90 
8/21/2020,$47.23 ,$135.96 
8/20/2020,$47.35 ,$136.39 
8/19/2020,$47.80 ,$137.45 
